Latitude,Longitude,city,clli_code,device,image,ip_address,network_code,network_type,region,zone
38.890759,-77.084747,ARTN,ARTNVA,ARTNVANZ12G,21.27.5 (87852),107.246.70.48,NZ,Consumer,VA,ARLNZ1
38.890759,-77.084747,ARTN,ARTNVA,ARTNVANZ21G,21.27.5 (87852),107.246.70.42,NZ,Consumer,VA,ARLNZ2
38.890759,-77.084747,ARTN,ARTNVA,ARTNVANZ22G,21.27.5 (87852),107.246.70.44,NZ,Consumer,VA,ARLNZ2
38.890759,-77.084747,ARTN,ARTNVA,ARTNVANZ31G,21.27.5 (87852),107.246.70.64,NZ,Consumer,VA,ARLNZ3
38.890759,-77.084747,ARTN,ARTNVA,ARTNVANZ32G,21.27.5 (87852),107.246.70.66,NZ,Consumer,VA,ARLNZ3
47.7732745,-122.2473982,BOTH,BOTHWA,BOTHWANF11G,21.27.5 (87852),198.225.40.197,NF,FirstNet,WA,BTHNF1
47.7732745,-122.2473982,BOTH,BOTHWA,BOTHWANF12G,21.27.5 (87852),198.225.40.199,NF,FirstNet,WA,BTHNF1
47.7732745,-122.2473982,BOTH,BOTHWA,BOTHWANZ11G,21.27.5 (87852),107.76.159.6,NZ,Consumer,WA,BTHNZ1
47.7732745,-122.2473982,BOTH,BOTHWA,BOTHWANZ12G,21.27.5 (87852),107.76.159.8,NZ,Consumer,WA,BTHNZ1
41.8338705,-87.897111,CHCG,CHCGIL,CHCGILNE11G,21.23.12 (83034),107.76.109.119,NE,Enterprise,IL,CHGNE1
41.8338705,-87.897111,CHCG,CHCGIL,CHCGILNE12G,21.23.12 (83034),107.76.109.121,NE,Enterprise,IL,CHGNE1
41.8338705,-87.897111,CHCG,CHCGIL,CHCGILNZ11G,21.27.5 (87852),107.76.109.55,NZ,Consumer,IL,CHGNZ1
41.8338705,-87.897111,CHCG,CHCGIL,CHCGILNZ12G,21.27.5 (87852),107.76.109.56,NZ,Consumer,IL,CHGNZ1
41.8338705,-87.897111,CHCG,CHCGIL,CHCGILNZ21G,21.27.5 (87852),107.76.109.63,NZ,Consumer,IL,CHGNZ2
41.8338705,-87.897111,CHCG,CHCGIL,CHCGILNZ22G,21.27.5 (87852),107.76.109.64,NZ,Consumer,IL,CHGNZ2
41.8338705,-87.897111,CHCG,CHCGIL,CHCGILNZ31G,21.27.5 (87852),107.76.109.59,NZ,Consumer,IL,CHGNZ3
41.8338705,-87.897111,CHCG,CHCGIL,CHCGILNZ32G,21.27.5 (87852),107.76.109.60,NZ,Consumer,IL,CHGNZ3
41.8338705,-87.897111,CHCG,CHCGIL,CHCGILNZ41G,21.27.5 (87852),107.76.109.79,NZ,Consumer,IL,CHGNZ4
41.8338705,-87.897111,CHCG,CHCGIL,CHCGILNZ42G,21.27.5 (87852),107.76.109.80,NZ,Consumer,IL,CHGNZ4
37.9736071,-122.0400972,CNCR,CNCRCA,CNCRCANE11G,21.27.5 (87852),107.246.123.198,NE,Enterprise,CA,CNCNE1
37.9736071,-122.0400972,CNCR,CNCRCA,CNCRCANE12G,21.27.5 (87852),107.246.123.200,NE,Enterprise,CA,CNCNE1
37.9736071,-122.0400972,CNCR,CNCRCA,CNCRCANF11G,21.27.5 (87852),198.225.50.23,NF,FirstNet,CA,CNCNF1
37.9736071,-122.0400972,CNCR,CNCRCA,CNCRCANF12G,21.27.5 (87852),198.225.50.25,NF,FirstNet,CA,CNCNF1
37.9736071,-122.0400972,CNCR,CNCRCA,CNCRCANZ11G,21.27.5 (87852),107.246.35.12,NZ,Consumer,CA,CNCNZ1
37.9736071,-122.0400972,CNCR,CNCRCA,CNCRCANZ12G,21.27.5 (87852),107.246.35.14,NZ,Consumer,CA,CNCNZ1
37.9736071,-122.0400972,CNCR,CNCRCA,CNCRCANZ21G,21.27.5 (87852),107.246.123.56,NZ,Consumer,CA,CNCNZ2
37.9736071,-122.0400972,CNCR,CNCRCA,CNCRCANZ22G,21.27.5 (87852),107.246.123.58,NZ,Consumer,CA,CNCNZ2
37.9736071,-122.0400972,CNCR,CNCRCA,CNCRCANZ31G,21.27.5 (87852),107.246.34.157,NZ,Consumer,CA,CNCNZ3
37.9736071,-122.0400972,CNCR,CNCRCA,CNCRCANZ32G,21.27.5 (87852),107.246.34.158,NZ,Consumer,CA,CNCNZ3
37.9736071,-122.0400972,CNCR,CNCRCA,CNCRCANZ41G,21.27.5 (87852),107.246.123.208,NZ,Consumer,CA,CNCNZ4
37.9736071,-122.0400972,CNCR,CNCRCA,CNCRCANZ42G,21.27.5 (87852),107.246.123.210,NZ,Consumer,CA,CNCNZ4
37.9736071,-122.0400972,CNCR,CNCRCA,CNCRCANZ51G,21.27.5 (87852),107.246.123.14,NZ,Consumer,CA,CNCNZ5
37.9736071,-122.0400972,CNCR,CNCRCA,CNCRCANZ52G,21.27.5 (87852),107.246.123.16,NZ,Consumer,CA,CNCNZ5
29.686394,-82.4023176,GSVL,GSVLFL,GSVLFLNZ11G,21.27.5 (87852),107.76.38.65,NZ,Consumer,FL,GSVNZ1
