pack_id,pack_version,dashboard_group_name,dashboard_group_label,dashboard_group_icon,dashboard_page_name,dashboard_page_label,dashboard_page_icon,dashboard_page_group
Host OS Discovery V2,2.0.0,Host_OS_Discovery,Host OS Discovery,asset.svg,host_os_asset_navigator,Asset Navigator,asset.svg,Host_OS_Discovery
Host OS Discovery V2,2.0.0,Host_OS_Discovery,Host OS Discovery,asset.svg,host_os_inventory,Inventory,asset.svg,Host_OS_Discovery
Host OS Discovery V2,2.0.0,Host_OS_Discovery,Host OS Discovery,asset.svg,host_os_collection_and_access_status,Status,asset.svg,Host_OS_Discovery
Host OS Discovery V2,2.0.0,Host_OS_Discovery,Host OS Discovery,asset.svg,host_os_configure_and_manage,Configure and Manage,asset.svg,Host_OS_Discovery
